Init Queue
[INFO] Init Cam
29.452085495 11.2700462341 5.35798072815
69.7031021118 16.0748958588 5.03611564636
71.9962120056 6.2952041626 4.97603416443
40.3141975403 6.17384910583 5.11789321899
29.4990539551 6.17098808289 5.10501861572
28.0630588531 6.11901283264 5.15007972717
28.7849903107 6.21604919434 4.95004653931
27.9591083527 6.16192817688 5.01799583435
29.4480323792 6.07895851135 5.04994392395
28.3470153809 6.29186630249 5.20777702332
28.3908843994 6.25705718994 5.06997108459
28.697013855 6.19101524353 5.00321388245
29.2479991913 6.11090660095 5.02395629883
28.5501480103 6.0088634491 5.11693954468
27.902841568 6.05893135071 5.14698028564
28.6939144135 6.16693496704 5.19704818726
28.5360813141 6.21795654297 5.00798225403
28.5270214081 6.18386268616 5.20896911621
28.226852417 6.17814064026 5.19108772278
29.0670394897 6.10208511353 5.47504425049
29.8500061035 6.0031414032 5.58400154114
28.9340019226 5.97405433655 5.4919719696
29.0009975433 6.12497329712 5.44500350952
28.7339687347 6.12998008728 2.41994857788
27.941942215 6.10899925232 2.0489692688
27.8141498566 6.27589225769 1.9199848175
28.0849933624 6.08706474304 2.37798690796
24.8639583588 6.07895851135 2.0740032196
23.430109024 11.0740661621 2.19202041626
22.4101543427 6.26111030579 1.97982788086
24.9569416046 6.07204437256 2.14600563049
24.5819091797 6.24704360962 2.84695625305
24.7309207916 6.04796409607 3.2958984375
21.7990875244 6.04891777039 3.12995910645
23.2419967651 5.86199760437 2.9628276825
23.509979248 6.23202323914 2.48193740845
20.5750465393 5.99193572998 2.56514549255
23.2558250427 5.9859752655 2.55608558655
18.9700126648 6.19602203369 2.4139881134
21.4710235596 6.15406036377 2.46000289917
21.5280056 6.38389587402 2.4049282074
20.9269523621 5.94782829285 2.19297409058
24.078130722 6.14500045776 2.24900245667
20.231962204 6.20698928833 2.16317176819
22.9370594025 6.14285469055 2.48599052429
22.843837738 6.2210559845 2.34889984131
23.9219665527 6.27493858337 2.36988067627
23.1509208679 6.23393058777 2.31313705444
22.5219726562 6.26397132874 2.41303443909
22.3128795624 6.10303878784 2.37202644348
20.2398300171 6.65712356567 2.42614746094
23.5440731049 6.14404678345 2.34484672546
22.479057312 6.08992576599 2.32291221619
22.8190422058 6.27088546753 2.27999687195
20.6940174103 6.09612464905 2.29716300964
19.4470882416 5.99813461304 2.26092338562
20.584821701 6.16121292114 2.00390815735
20.2579498291 6.0920715332 2.01010704041
19.8600292206 6.15501403809 1.87516212463
19.1030502319 6.10685348511 5.00798225403
22.9980945587 6.10113143921 5.32293319702
25.8958339691 6.38699531555 5.44786453247
25.6218910217 6.14905357361 5.57899475098
25.0160694122 6.35099411011 5.44500350952
26.0879993439 6.30593299866 5.42712211609
24.9371528625 6.28805160522 5.50985336304
29.6700000763 6.15096092224 5.40900230408
25.4039764404 5.94401359558 5.46097755432
24.759054184 6.21700286865 5.33390045166
25.3350734711 6.08801841736 5.29599189758
25.0291824341 6.16598129272 5.22303581238
25.3419876099 6.19888305664 5.47909736633
25.5329608917 6.17504119873 5.28192520142
24.8770713806 5.94091415405 5.63192367554
25.4800319672 6.25514984131 5.31601905823
25.1080989838 6.09111785889 5.33604621887
25.4518985748 6.0601234436 5.53393363953
25.6209373474 6.29687309265 5.36394119263
26.1218547821 6.27589225769 5.55086135864
25.4819393158 6.21199607849 5.42187690735
25.9602069855 5.87296485901 5.57208061218
25.5830287933 6.13403320312 5.40399551392
25.5398750305 6.21819496155 5.22685050964
25.2318382263 6.13403320312 5.43212890625
25.6700515747 6.19411468506 5.32603263855
25.6440639496 6.2301158905 5.71298599243
25.5670547485 6.20913505554 5.28812408447
26.3419151306 5.94806671143 2.8440952301
21.8110084534 6.05511665344 2.5680065155
24.5819091797 5.92994689941 2.29215621948
23.9639282227 6.0920715332 2.06899642944
24.3818759918 6.12211227417 2.1448135376
19.4439888 6.22892379761 1.89399719238
20.1010704041 6.20102882385 2.0010471344
22.8412151337 6.18195533752 1.80411338806
22.8500366211 6.13117218018 2.25400924683
19.1340446472 5.99408149719 2.17509269714
20.0369358063 6.0830116272 2.22086906433
24.5590209961 6.22487068176 1.98101997375
21.2171077728 6.70909881592 2.16484069824
23.157119751 6.20412826538 2.11191177368
29.4559001923 6.19602203369 2.23302841187
22.115945816 6.06608390808 2.09403038025
25.5300998688 6.12902641296 2.21109390259
22.264957428 6.07705116272 1.92308425903
27.6970863342 7.56502151489 1.92880630493
23.1459140778 6.21914863586 1.9359588623
26.6370773315 6.07490539551 2.05492973328
28.1159877777 6.2849521637 2.08902359009
24.5208740234 6.08682632446 2.09617614746
27.4531841278 6.96897506714 1.9850730896
23.6549377441 6.55388832092 1.92880630493
26.9420146942 6.01696968079 2.02512741089
26.9777774811 6.25491142273 1.83010101318
24.5552062988 6.18600845337 1.85799598694
25.9850025177 6.07681274414 1.93095207214
24.7478485107 6.08897209167 1.79409980774
25.4921913147 6.1981678009 1.80006027222
23.8149166107 6.10089302063 1.73711776733
20.446062088 6.03008270264 1.98817253113
21.5709209442 6.30497932434 1.88302993774
21.5620994568 6.1948299408 1.61099433899
23.2598781586 6.19196891785 1.86204910278
23.0810642242 6.13403320312 4.51707839966
25.4001617432 6.20603561401 4.88305091858
28.9530754089 6.23297691345 4.88495826721
29.1111469269 6.21294975281 4.93216514587
